taxon_name,mean_fires,num_unburnt_pixels,num_pixels
Acacia shuttleworthii,0.5,29,38
Acacia sibirica,0.3111111111111111,521,675
Acacia siculiformis,0.6868686868686869,229,495
Acacia silvestris,0.8005115089514067,133,391
Acacia simsii,1.6624685138539042,180,397
Acacia sp. Baroalba (K.G.Brennan 186),2.3636363636363638,3,22
Acacia sp. El Sharana (N.B.Byrnes 1326),2.25,33,72
Acacia sp. Gove (N.B.Byrnes 2586),4.5,1,4
Acacia sp. Jim Jim Falls (M.Lazarides 9075),1.5555555555555556,2,9
Acacia sp. Krichauff Range (A.Soos 241),0.6666666666666666,1,3
Acacia sp. Mulga Holey Trunk (P.K.Latz 12458),0.42857142857142855,4,7
Acacia sp. New England (J.B.Williams 97011),1.069767441860465,33,86
Acacia spathulifolia,0.2868217054263566,94,129
Acacia spectabilis,0.3228120516499283,524,697
Acacia spectrum,0,1,1
Acacia sphacelata subsp. recurva,0.07894736842105261,35,38
Acacia spilleriana,0.08823529411764705,31,34
Acacia spinescens,0.19245107176141665,1768,2146
Acacia spirorbis subsp. solandri,0.24561403508771937,51,57
Acacia spondylophylla,1.143478260869565,74,230
Acacia sporadica,0.23809523809523808,16,21
Acacia squamata,0.24242424242424246,56,66
Acacia steedmanii subsp. borealis,1.5,2,20
Acacia stellaticeps,1.8372093023255816,36,129
Acacia stenophylla,0.03730769230769234,2537,2600
Acacia stenoptera,0.2614213197969543,319,394
Acacia stictophylla,0.01785714285714285,110,112
Acacia stipuligera,2.172351885098743,83,557
Acacia stipulosa,2.8484848484848486,2,33
Acacia stricta,0.23361823361823333,1980,2457
Acacia strongylophylla,0.7083333333333333,51,96
Acacia suaveolens,0.5070323488045008,3450,5688
Acacia sublanata,3.6666666666666665,49,219
Acacia subporosa,0.1483870967741935,133,155
Acacia subternata,4.844660194174757,3,103
Acacia subtilinervis,1.099337748344371,60,151
Acacia subulata,0.125,106,120
Acacia tabula,1.125,1,8
Acacia tayloriana,0,1,1
Acacia tenuissima,1.6055437100213217,137,469
Acacia teretifolia,0.053571428571428555,53,56
Acacia terminalis,0.6635087125697859,2861,5911
Acacia terminalis subsp. Bright yellow flower (M.Tindale NSW248078),0.7543103448275861,118,232
Acacia terminalis subsp. Glabrous form (M.Hancock 94),0.589430894308943,264,492
Acacia terminalis subsp. Long inflorescences (P.G.Kodela 307),0.5564516129032258,73,124
Acacia tetragonocarpa,0.33333333333333337,24,30
Acacia tetragonophylla,0.09607112130771386,3243,3487
Acacia thomsonii,1.6341463414634148,19,82
Acacia tolmerensis,10.833333333333334,0,42
Acacia torringtonensis,1.3333333333333335,22,117
Acacia torulosa,2.8297055057618437,215,781
Acacia translucens,5.986013986013985,11,286
Acacia trigonophylla,0.2727272727272728,36,44
Acacia trinervata,0.5732484076433121,86,157
Acacia trineura,0.16751269035533004,168,197
Acacia triptera,0.24921630094043878,506,638
Acacia tropica,2.6521739130434785,25,115
Acacia trudgeniana,1.3181818181818181,7,22
Acacia truncata,0.27142857142857146,52,70
Acacia tuberculata,0,1,1
Acacia tumida,4.933333333333333,23,240
Acacia ulicifolia,0.5458343884527728,4791,7898
Acacia umbellata,2.2873563218390784,154,435
Acacia uncifolia,0.3149606299212602,195,254
Acacia uncinata,0.48979591836734687,312,490
Acacia uncinella,0.29347826086956524,70,92
Acacia undoolyana,0.5882352941176471,7,17
Acacia unifissilis,0.16666666666666666,52,60
Acacia urophylla,0.2748538011695907,129,171
Acacia validinervia,1.0843373493975903,32,83
Acacia varia,0.3571428571428571,10,14
Acacia varia var. varia,0.4629629629629629,36,54
Acacia venulosa,1.0567375886524828,151,423
Acacia verniciflua,0.35761024182076795,2505,3515
Acacia verticillata,0.21720881427072272,3813,4765
Acacia verticillata subsp. cephalantha,0.0813953488372093,79,86
Acacia verticillata subsp. ovoidea,0.12998712998712994,695,777
Acacia verticillata subsp. ruscifolia,0.18888888888888886,74,90
Acacia verticillata subsp. verticillata,0.09791425260718417,1561,1726
Acacia vestita,0.04366812227074236,220,229
Acacia victoriae,0.19784341303328734,1892,2133
Acacia victoriae subsp. arida,0.08547008547008547,107,117
Acacia victoriae subsp. victoriae,0.03290083410565325,2108,2158
Acacia viscidula,0.580952380952381,252,420
Acacia wattsiana,0.2041884816753927,152,191
Acacia wickhamii,3.2807017543859645,5,57
Acacia wickhamii subsp. wickhamii,3.6875,13,80
Acacia wilhelmiana,0.09295199182839618,894,979
Acacia willdenowiana,0.2137931034482759,119,145
Acacia williamsiana,0.24528301886792456,40,53
Acacia williamsonii,0.0054054054054054074,184,185
Acacia wiseana,1.2105263157894737,19,38
Acacia xiphophylla,0.24691358024691354,67,81
Acacia yirrkallensis,3.2290076335877864,29,131
Acaena echinata,0.17714364488558038,6183,7254
Acaena montana,0.03225806451612905,60,62
Acaena novae-zelandiae,0.33354192740926075,12861,17578
Acaena pallida,0.1379310344827586,26,29
"Acaena sp. Thredbo River Gorge (L.A.S.Johnson & E.F.Constable s.n., 19 Jan 1951)",0.6911764705882353,29,68
Acalypha nemorum,0.35000000000000014,164,220
Acanthocarpus canaliculatus,0.13580246913580243,73,81
Acanthocarpus preissii,0.1871345029239766,144,171
Acanthocarpus sp. Ajana (C.A.Gardner 8596),0.06451612903225808,29,31
Achyranthes aspera,1.3775510204081638,388,686
Acianthus caudatus,0.21734693877551045,796,980
Acianthus collinus,0.21599999999999997,104,125
Acianthus exsertus,0.41223671013039104,657,997
Acianthus fornicatus,0.45861807137433575,845,1317
Acianthus pusillus,0.16021361815754331,1282,1498
Acidonia microcarpa,1,26,57
Aciphylla glacialis,0.7108433734939759,163,332
Aciphylla simplicifolia,1.1518072289156625,76,415
Ackama paniculosa,0.17673814165042254,1304,1539
Acradenia euodiiformis,0.09363295880149813,245,267
Acradenia frankliniae,0,38,38
Acronychia imperforata,0.2479838709677419,421,496
Acronychia laevis,0.4816247582205028,390,517
Acronychia oblongifolia,0.1767605633802818,1209,1420
Acronychia pubescens,0.06727828746177367,307,327
Acronychia vestita,0.023529411764705865,83,85
Acrophyllum australe,0.6181818181818182,29,55
Acrostichum aureum,0.7297297297297296,30,37
Acrostichum speciosum,0.8527777777777777,284,360
Acrothamnus hookeri,0.9101229895931882,717,2114
Acrothamnus maccraei,0.5227686703096538,340,549
Acrothamnus montanus,0.5561797752808987,194,356
Acrotriche affinis,0,1,1
