taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,taxon_rank,resprouting,post_fire_seeding,data_on_both,resprouter_or_seeder,woodiness_detailed,woody_or_herb,resprouting_binomial,seeding_binomial,obligate_resprouting_or_seeding,resprouting_seeding_binomial
Lepidosperma ensiforme,413.84,0.05357142857142857,0.0964374990701342,0.01070535807272295,0.9549549549549547,0.6163163932131548,106,112,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma filiforme,43.01641791044778,0.5153846153846152,0.5444726158070111,0.48629661496221926,0.8630936808050388,0.999999531888896,1337,2340,species,sometimes resprouts,robust post-fire seeding,TRUE,facultative,herbaceous,herb,TRUE,TRUE,NA,seeder
Lepidosperma flexuosum,24.503684210526323,0.9047619047619044,1.311592472825701,0.4979313366981084,1.205263157894737,0.23782428607880143,8,21,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma forsythii,32.54442307692308,0.6812227074235808,0.788123983204025,0.5743214316431366,0.5777103013945118,0.9999999524118548,93,229,species,mostly resprouts,robust post-fire seeding,TRUE,facultative,herbaceous,herb,TRUE,TRUE,NA,NA
Lepidosperma gladiatum,196.15630434782616,0.113022113022113,0.13611751790096538,0.08992670814326059,1.1274934488475323,0.00647584737552744,732,814,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma gracile,82.34571428571427,0.26923076923076933,0.3843826713091468,0.1540788671523918,1.4155844155844153,0.00961509962055129,63,78,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma gunnii,47.25207094918504,0.4691857849752587,0.4976604591213965,0.44071111082912096,1.02600250437316,0.1923454214070065,1411,2223,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma inops,228.03428571428583,0.09722222222222218,0.16924545235675825,0.02519899208768611,1.2052313883299806,0.11448502724230154,66,72,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma laterale,46.485483870967506,0.4769230769230794,0.48596194429697065,0.46788420954918813,1.0212991840539458,0.01246042315604941,14073,22425,species,mostly resprouts,some post-fire seeding,TRUE,facultative,herbaceous,herb,TRUE,TRUE,NA,resprouter
Lepidosperma leptostachyum,80.61818181818184,0.27499999999999997,0.3364247507117448,0.2135752492882551,1.3792766373411538,2.66912956821711e-5,218,280,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma limicola,20.4336083916084,1.084977238239757,1.164505900564361,1.0054485759151528,0.6600803451867283,0.9999999999989536,175,659,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma lineare,72.84428571428573,0.3043478260869565,0.46377496691471576,0.14492068525919724,0.8571428571428572,0.7394562083590326,33,46,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma longitudinale,89.71840749414521,0.24710648148148148,0.2705447902238153,0.22366817273914769,1.4422527456880596,9.225640346137504e-31,1405,1728,species,mostly resprouts,no post-fire seeding,TRUE,resprouter,herbaceous,herb,TRUE,FALSE,obligate resprouter,resprouter
Lepidosperma neesii,32.89249569707401,0.6740139211136892,0.7288210272729935,0.6192068149543849,0.8502081996477696,0.9994468813676464,405,862,species,mostly resprouts,no post-fire seeding,TRUE,resprouter,herbaceous,herb,TRUE,FALSE,obligate resprouter,resprouter
Lepidosperma oldfieldii,310.38000000000005,0.07142857142857142,0.15225760911511904,-0.00940046625797617,0.951219512195122,0.5598356119953762,39,42,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma persecans,77.59500000000003,0.28571428571428564,0.5657142857142856,0.00571428571428567,1.3076923076923082,0.1993040745655601,11,14,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma pruinosum,77.59500000000001,0.2857142857142857,0.4473723610873809,0.12405621034119048,2.4390243902439024,7.740389592262149e-7,36,42,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma pubisquameum,62.27161764705881,0.35602094240837706,0.4406417489655563,0.2714001358511978,1.2682662538699687,0.00723591993364089,142,191,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma sanguinolentum,80.95409090909094,0.27385892116182564,0.3399299388924749,0.2077879034311763,0.9421717171717174,0.7308986034624273,182,241,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma scabrum,171.02571428571432,0.12962962962962962,0.2256606031423444,0.03359865611691484,1.1778975741239892,0.1760813628366467,48,54,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma semiteres,74.67313858695653,0.29689390883420735,0.31834347199181207,0.27544434567660264,0.9806755974313084,0.7502111050011672,1838,2479,species,mostly resprouts,no post-fire seeding,TRUE,resprouter,herbaceous,herb,TRUE,FALSE,obligate resprouter,resprouter
Lepidosperma sieberi,82.6513157894737,0.268235294117647,0.2966641210489863,0.23980646718630777,0.8552425018590432,0.9999367054561248,952,1275,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma sp. Narrow leaf (R.L.Taplin 709),310.3800000000001,0.07142857142857141,0.2114285714285714,-0.06857142857142857,1.0000000000000002,0.4478116743194914,13,14,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma sp. P1 small head (M.D.Tindale 166A),325.15999999999997,0.06818181818181819,0.14533680870079546,-0.00897317233715908,0.9534883720930232,0.558376564517421,41,44,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma squamatum,65.61604838709678,0.33787465940054495,0.39734505804439696,0.27840426075669295,1.278512251013573,2.417715387698749e-4,277,367,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma tenue,134.72538461538463,0.16455696202531644,0.22781062181418896,0.10130330223644392,1.227829495345419,0.02743762637201365,136,158,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
Lepidosperma tetraquetrum,91.84714285714286,0.2413793103448276,0.367821525484085,0.11493709520557024,1.0626566416040102,0.34829569215343126,46,58,species,mostly resprouts,NA,FALSE,NA,herbaceous,herb,TRUE,NA,NA,NA
