taxon_name,mean_fri,mean_fires,lwr_confint,upr_confint,dispersion_ratio,dispersion_p_value,num_unburnt_pixels,num_pixels,warnings,messages,error
Sauropus ramosissimus,40.076538461538476,0.5531914893617019,0.7035506489342428,0.40283232978916106,2.5119933829611254,4.4018304155663556e-14,69,94,NA,NA,NA
Sauropus rigens,347.33,0.06382978723404256,0.09613211641943209,0.03152745804865304,1.074074074074074,0.20813758006490415,221,235,NA,NA,NA
Sauropus rigidulus,11.085,2,4.771858582251266,-0.7718585822512658,NA,1,0,1,NA,NA,NA
Sauropus sp. Mann River (I.D.Cowie 8724),10.07727272727273,2.1999999999999997,3.5001169178193163,0.8998830821806831,3.272727272727274,0.010840033306106361,2,5,NA,NA,NA
Sauropus stenocladus,22.17,1,2.96,-0.96,NA,1,0,1,NA,NA,NA
Sauropus stenocladus subsp. pinifolius,2.77125,8,13.543717164502532,2.4562828354974684,NA,1,0,1,NA,NA,NA
Sauropus stenocladus subsp. stenocladus,3.410769230769231,6.5,8.998519561660464,4.001480438339536,6.000000000000001,4.398496528388284e-4,1,4,NA,NA,NA
Saxipoa saxicola,39.90600000000002,0.5555555555555554,0.6736621381457126,0.43744897296539814,0.8026315789473687,0.9648550763871838,83,153,NA,NA,NA
Scaevola aemula,44.549150943396235,0.4976525821596244,0.5523502454151,0.44295491890414873,1.183444727036139,9.243770210043924e-4,393,639,NA,NA,NA
Scaevola albida,144.7358536585366,0.15317559153175592,0.1723171848051444,0.13403399825836743,1.083271281310944,0.01049506022041223,1385,1606,NA,NA,NA
Scaevola amblyanthera var. centralis,25.834462809917355,0.8581560283687945,1.011063829787234,0.7052482269503547,1.3081463990554898,0.00838841006722425,65,141,NA,NA,NA
Scaevola anchusifolia,160.7325,0.13793103448275865,0.2335123649052161,0.042349704060301196,1.1315789473684206,0.23097681137335677,51,58,NA,NA,NA
Scaevola angulata,7.341381578947369,3.019867549668874,3.297047329456707,2.7426877698810412,3.083888888888889,1.3988610739964507e-33,34,151,NA,NA,NA
Scaevola angustata,91.84714285714286,0.2413793103448276,0.42019560585126203,0.06256301483839316,1.3775510204081631,0.08806635808829096,24,29,NA,NA,NA
Scaevola basedowii,22.32835714285714,0.9929078014184399,1.1573832109911384,0.8284323918457414,0.8272448979591835,0.9328934556176316,51,141,NA,NA,NA
Scaevola browniana,6.158333333333333,3.6000000000000005,3.903641894342662,3.296358105657339,1.1670395227442205,0.07976813946316065,12,150,NA,NA,NA
Scaevola browniana subsp. browniana,7.754039408866994,2.8591549295774654,3.1372739837467285,2.5810358754082023,1.863326695314956,2.228170010335115e-9,21,142,NA,NA,NA
Scaevola browniana subsp. grandior,7.3900000000000015,2.9999999999999996,3.619806421393002,2.380193578606997,1.793103448275862,0.005451221999426445,5,30,NA,NA,NA
Scaevola calendulacea,122.97421875000002,0.18028169014084505,0.2244507042253521,0.136112676056338,1.2294314971751417,0.002048771228722823,301,355,NA,NA,NA
Scaevola calliptera,70.03233644859813,0.3165680473372781,0.3765514723321469,0.2565846223424093,1.1166421697773092,0.06885368485429726,252,338,NA,NA,NA
Scaevola canescens,90.26357142857142,0.2456140350877193,0.3198962091747334,0.17133186100070524,0.9983193277310923,0.4917558074858559,134,171,NA,NA,NA
Scaevola crassifolia,169.2490243902439,0.13099041533546327,0.17108665656667216,0.09089417410425438,1.4590368980612884,2.0854054752734777e-7,281,313,NA,NA,NA
Scaevola depauperata,65.35531250000001,0.33922261484098937,0.40708127061279187,0.27136395906918687,1.332151300236407,1.568345104403334e-4,210,283,NA,NA,NA
Scaevola glabrata,11.140703517587939,1.9900000000000002,2.2664920252014515,1.7135079747985489,2.0455306837216383,4.233718264794385e-9,27,100,NA,NA,NA
Scaevola globulifera,88.68,0.25,0.3544683510142491,0.14553164898575088,0.9425287356321839,0.6314705772863022,68,88,NA,NA,NA
Scaevola hookeri,36.60627906976744,0.6056338028169015,0.6865894125782698,0.5246781930555332,0.8245959795033505,0.99306322341317,180,355,NA,NA,NA
