taxon_name,genus,num_unburnt_pixels,num_pixels,taxon_rank,mean_fires_per_century,resprouting,post_fire_seeding,data_on_both,woody_or_herb,resprouting_binomial,seeding_binomial
Cryptandra sp. Floriferous (W.R.Barker 4131),Cryptandra,335,485,species,1.789328889833257,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra speciosa subsp. speciosa,Cryptandra,52,85,subspecies,2.0695693703733182,does not resprout,NA,FALSE,woody,FALSE,NA
Cryptandra tomentosa,Cryptandra,1046,1399,species,1.2157602624231458,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Cryptandra triplex,Cryptandra,1,26,species,18.38936886298185,mostly resprouts,NA,FALSE,woody,TRUE,NA
Polianthion wichurae,Polianthion,49,62,species,1.0185225602747099,mostly resprouts,NA,FALSE,woody,TRUE,NA
Pomaderris andromedifolia,Pomaderris,133,266,species,3.263350692308743,sometimes resprouts,robust post-fire seeding,TRUE,woody,TRUE,TRUE
Pomaderris andromedifolia subsp. andromedifolia,Pomaderris,129,292,subspecies,3.676447871676522,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris andromedifolia subsp. confusa,Pomaderris,27,49,subspecies,2.2092734252022868,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris angustifolia,Pomaderris,213,344,species,1.9799435650522916,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris apetala,Pomaderris,87,119,species,1.1481527043096729,does not resprout,no post-fire seeding,TRUE,woody,FALSE,FALSE
Pomaderris apetala subsp. apetala,Pomaderris,162,245,subspecies,1.303062196160978,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris apetala subsp. maritima,Pomaderris,25,51,subspecies,1.0934787660092122,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris aspera,Pomaderris,4087,7072,species,2.2291052528683175,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Pomaderris aurea,Pomaderris,32,73,species,2.718717753844823,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris betulina,Pomaderris,96,151,species,2.270235716184689,sometimes resprouts,no post-fire seeding,TRUE,woody,TRUE,FALSE
Pomaderris betulina subsp. actensis,Pomaderris,5,42,subspecies,5.369761797366668,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris betulina subsp. betulina,Pomaderris,71,127,subspecies,2.3085747569781114,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris bodalla,Pomaderris,27,52,species,2.168557648936539,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris brogoensis,Pomaderris,29,55,species,2.042535808205887,sometimes resprouts,NA,FALSE,woody,TRUE,NA
Pomaderris brunnea,Pomaderris,62,111,species,2.1717703269349635,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Pomaderris cinerea,Pomaderris,172,273,species,1.6810722911018015,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris costata,Pomaderris,26,61,species,3.031714693464066,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris cotoneaster,Pomaderris,56,81,species,1.670592559180741,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Pomaderris crassifolia,Pomaderris,9,16,species,2.8191249436175005,mostly resprouts,NA,FALSE,woody,TRUE,NA
Pomaderris discolor,Pomaderris,157,254,species,1.8764095624718085,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Pomaderris elachophylla,Pomaderris,128,221,species,2.163455160350806,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris elliptica,Pomaderris,101,154,species,1.4309489368982626,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris elliptica var. elliptica,Pomaderris,456,772,variety,2.0785898654667156,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris eriocephala,Pomaderris,182,326,species,2.1578487222751237,sometimes resprouts,robust post-fire seeding,TRUE,woody,TRUE,TRUE
Pomaderris ferruginea,Pomaderris,683,1133,species,2.0957935122470652,does not resprout,robust post-fire seeding,TRUE,woody,FALSE,TRUE
Pomaderris halmaturina subsp. continentis,Pomaderris,29,36,subspecies,0.8770610935698889,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris halmaturina subsp. halmaturina,Pomaderris,109,114,subspecies,0.20136606740125004,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris helianthemifolia subsp. helianthemifolia,Pomaderris,6,18,subspecies,3.2576554904024455,does not resprout,NA,FALSE,woody,FALSE,NA
Pomaderris helianthemifolia subsp. hispida,Pomaderris,20,53,subspecies,3.2340150296593215,does not resprout,NA,FALSE,woody,FALSE,NA
